name,gender,organization,date,location,type_of_death
Kim Wall,Female,Freelance,"August 10, 2017",Denmark,Dangerous Assignment
Larisa Yudina,Female,Sovietskaya Kalmykia Segodnya,"June 8, 1998",Russia,Murder
Layal Najib,Female,freelance,"July 23, 2006",Lebanon,Crossfire
Lea Dalmacio,Female,Socsargen News,"November 23, 2009",Philippines,Murder
Leslie Ann Pamela Montenegro del Real,Female,El Sillón,"February 5, 2018",Mexico,Murder
Leyla Yildizhan (Deniz Firat),Female,Firat News Agency,"August 8, 2014",Iraq,Crossfire
Lissy Schmidt,Female,"Agence France-Presse, Frankfurter Rundschau, Der Tagesspiegel","April 3, 1994",Iraq,Murder
Luma al-Karkhi,Female,Al-Dustour,"November 15, 2006",Iraq,Murder
Lyra McKee,Female,Freelance,"April 18, 2019",UK,Dangerous Assignment
Maha Ibrahim,Female,Baghdad TV,"June 25, 2005",Iraq,Crossfire
Maharram Durrani,Female,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,Murder
Malalai Maiwand,Female,Enikass Radio and TV,"December 10, 2020",Afghanistan,Murder
Malika Sabour,Female,Echourouk al-Arabi,"May 21, 1995",Algeria,Murder
María Carlin Fernández,Female,Peruvian Radio and Television Network,"December 10, 1993",Peru,Murder
María Efigenia Vásquez Astudillo,Female,Renacer Kokonuko,"October 8, 2017",Colombia,Dangerous Assignment
Maria Elena Ferral Hernández,Female,"El Diario de Xalapa,El Quinto Poder","March 30, 2020",Mexico,Murder
Maria Elizabeth Macías Castro,Female,Freelance,"September 24, 2011",Mexico,Murder
Maria Grazia Cutuli,Female,Corriere della Serra,"November 19, 2001",Afghanistan,Murder
Maria Guadalupe Lourdes Maldonado López,Female,Freelance,"January 23, 2022",Mexico,
María José Bravo,Female,La Prensa,"November 9, 2004",Nicaragua,Murder
María Veronica Tessari,Female,Colombian Media,"January 15, 1993",Venezuela,Dangerous Assignment
Maricel Vigo,Female,DXND,"June 19, 2006",Philippines,Murder
Marie Colvin,Female,The Sunday Times,"February 22, 2012",Syria,Murder
Marife “Neneng” Montaño,Female,Saksi News and DXCI,"November 23, 2009",Philippines,Murder
Marites Cablitas,Female,News Focus and DXDX,"November 23, 2009",Philippines,Murder
Marlene Garcia-Esperat,Female,Midland News and DXKR,"March 24, 2005",Philippines,Murder
Mayada Ashraf,Female,Al-Dustour,"March 28, 2014",Egypt,Crossfire
Michelle Lang,Female,Calgary Herald and Canwest News Service,"December 30, 2009",Afghanistan,Crossfire
Mika Yamamoto,Female,Japan Press,"August 20, 2012",Syria,Crossfire
Mina Khairi,Female,Ariana News TV,"June 3, 2021",Afghanistan,Murder
Miroslava Breach Velducea,Female,La Jornada,"March 23, 2017",Mexico,Murder
Mona al-Bakkour,Female,Al-Thawra and Syria al-Qalaa,"October 3, 2012",Syria,Dangerous Assignment
Nadezhda Chaikova,Female,Obshchaya Gazeta,"March 30, 1996",Russia,Murder
Nadia Nasrat,Female,Iraq Media Network/Diyala TV,"March 18, 2004",Iraq,Murder
Naïma Hammouda,Female,Révolution Africaine,"August 2, 1995",Algeria,Murder
Naqshin Hamma Rashid,Female,Atyaf,"October 29, 2006",Iraq,Murder
Natalya Alyakina,Female,Focus and RUFA,"June 17, 1995",Russia,Crossfire
Natalya Estemirova,Female,"Novaya Gazeta, Kavkazsky Uzel","July 15, 2009",Russia,Murder
Natalya Skryl,Female,Nashe Vremya,"March 9, 2002",Russia,Murder
Nawras al-Nuaimi,Female,Al-Mosuliya TV,"December 15, 2013",Iraq,Murder
Nina Yefimova,Female,Vozrozhdeniye,"May 9, 1996",Russia,Murder
Norma Sarabia Garduza,Female,"Tabasco Hoy,Diario Presente","June 11, 2019",Mexico,Murder
Ogulsapar Muradova,Female,Radio Free Europe/Radio Liberty,September 2006,Turkmenistan,Murder
Oksana Baulina,Female,The Insider,"March 23, 2022",Ukraine,Crossfire
Oksana Haidar,Female,,"March 11-April 7, 2022",Ukraine,Dangerous Assignment
Oleksandra Kuvshynova,Female,Fox News,"March 14, 2022",Ukraine,Crossfire
Oralgaisha Omarshanova (Zhabagtaikyzy),Female,Zakon i Pravosudiye,"On or after March 30, 2007",Kazakhstan,
Rachida Hammadi,Female,Algerian State Television,"March 31, 1995",Algeria,Murder
Radoslava Dada Vujasinovic,Female,Duga,"April 8, 1994",Serbia,
Raeda Wazzan,Female,Al-Iraqiya,"February 25, 2005",Iraq,Murder
Randa George,Female,Raja FM,"January 25, 2015",South Sudan,Murder
Rasha Abdullah al-Harazi,Female,"Al-Ain,Bloomberg Asharq","November 9, 2021",Yemen,
Regina Martínez Pérez,Female,Proceso,"April 28, 2012",Mexico,Murder
Relangi Selvarajah,Female,Sri Lanka Rupavahini Corp.,"August 12, 2005",Sri Lanka,Murder
Rubylita Garcia,Female,"Remate, dwAD","April 6, 2014",Philippines,Murder
Sagal Salad Osman,Female,Radio Mogadishu,"June 5, 2016",Somalia,Murder
Sahar Hussein Ali al-Haydari,Female,National Iraqi News Agency and Aswat al-Iraq,"June 7, 2007",Iraq,Murder
Saïda Djebaili,Female,Al-Hayat al-Arabia,"October 17, 1995",Algeria,Murder
Salam Mema,Female,,"October 13, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Sarwa Abdul-Wahab,Female,freelance,"May 4, 2008",Iraq,Murder
Shai Regev,Female,Ma’ariv,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Shaima El-Gazzar,Female,Al-Majedat network,"December 3, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Sheila Johana García Olivera,Female,El Veraz,"May 9, 2022",Mexico,
Shifa Zikri Ibrahim (Shifa Gardi),Female,Rudaw TV,"February 25, 2017",Iraq,Crossfire
Shireen Abu Akleh,Female,Al-Jazeera,"May 11, 2022",Israel and the Occupied Palestinian Territory,Murder
Shoba,Female,O'liveechchu,"May 18 or 19, 2009",Sri Lanka,Crossfire
Sonia Isabel Alvarado Huayunga,Female,Radio Láser,"December 7 to December 9, 2019",Peru,
Tuba Akyılmaz (Nujiyan Erhan),Female,"Jin News Agency (JINHA), Roj News, Gazete Sujin","March 25, 2017",Iraq,
Uma Singh,Female,"Janakpur Today, Radio Today","January 11, 2009",Nepal,Murder
Veronica Guerin,Female,Sunday Independent,"June 26, 1996",Ireland,Murder
Veronique Robert,Female,#5BisProduction,"June 24, 2017",Iraq,Crossfire
Viktoria Marinova,Female,TVN,"October 6, 2018",Bulgaria,
Vira Hyrych,Female,Radio Free Europe/Radio Liberty,"April 28, 2022",Ukraine,Dangerous Assignment
Wassan Al-Azzawi,Female,Salaheddin TV,"December 23, 2013",Iraq,Murder
Wendi Winters,Female,Capital Gazette,"June 28, 2018",USA,Murder
Winifrida Mukamana,Female,Reba Videwo,"April 7, 1994",Rwanda,Murder
Yara Abbas,Female,Al-Ikhbariya,"May 27, 2013",Syria,Crossfire
Yasmina Brikh,Female,Al-Ikhbariya,"May 27, 2013",Syria,Crossfire
Yasmina Drici,Female,Al-Ikhbariya,"May 27, 2013",Syria,Crossfire
Yessenia Mollinedo Falconi,Female,Al-Ikhbariya,"May 27, 2013",Syria,Crossfire
Zahra Kazemi,Female,Al-Ikhbariya,"May 27, 2013",Syria,Crossfire
Zakia Zaki,Female,Al-Ikhbariya,"May 27, 2013",Syria,Crossfire
Abadullah Hananzai,Male,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,Murder
Abay Hailu,Male,Agiere,"February 9, 1998",Ethiopia,Dangerous Assignment
Abd al-Karim al-Ezzo,Male,Freelance,"December 21, 2012",Syria,Crossfire
Abdallah Bouhachek,Male,Révolution et Travail,"February 10, 1996",Algeria,Murder
Abdel Aziz Mahmoud Hasoun,Male,Masar Press,"September 5, 2013",Syria,Crossfire
Abdel Karim al-Oqda,Male,Shaam News Network,"September 19, 2012",Syria,Murder
Abdel Karim al-Rubai,Male,Al-Sabah,"September 9, 2006",Iraq,Murder
Abdel Karim Nazir Ismail,Male,Freelance,"January 31, 2013",Syria,Crossfire
Abdel Sattar Abdel Karim,Male,Al Ta'akhy,"February 1, 2004",Iraq,Crossfire
Abdelhamid Benmeni,Male,Algérie-Actualité,"August 9, 1993",Algeria,Murder
Abdelhamid Yahiaoui,Male,El-Chaab,"January 12, 1995",Algeria,Murder
Abdelkader Hireche,Male,Algerian Television (ENTV),"February 28, 1994",Algeria,Murder
Abdelqadir Fassouk,Male,Arraed Satellite TV,"July 21, 2016",Libya,Crossfire
Abderrahmane Chergou,Male,Freelance,"September 28, 1993",Algeria,Murder
Abdiaziz Ali,Male,Radio Shabelle,"September 27, 2016",Somalia,Murder
Abdiaziz Mohamud Guled,Male,Radio Mogadishu,"November 20, 2021",Somalia,Murder
Abdihared Osman Aden,Male,Shabelle Media Network,"January 18, 2013",Somalia,Murder
Abdinasir Abdulle Ga’al,Male,Somali National Army Radio,"August 14, 2019",Somalia,Dangerous Assignment
Abdirahman Yasin Ali,Male,Radio Hamar,"September 20, 2012",Somalia,Murder
Abdirisak Mohamed Warsame,Male,Radio Shabelle,"May 22, 2009",Somalia,Crossfire
Abdirisak Said Osman,Male,Codka Nabada,"September 19, 2018",Somalia,
Abdirizak Ali Abdi,Male,"Radio Daljir,Horn Cable TV","November 16, 2014",Somalia,Murder
Abdirizak Kasim Iman,Male,SBS TV,"July 26, 2018",Somalia,
Abdisalan Sheikh Hassan,Male,Freelance,"December 18, 2011",Somalia,Murder
Abdisatar Daher Sabriye,Male,Radio Mogadishu,"September 20, 2012",Somalia,Murder
Abdiwali Ali Hassan,Male,"Freelance; Universal TV, Radio Kulmiye","February 16, 2020",Somalia,Murder
Abdul Aziz Shaheen,Male,Azadi,"August 29, 2008",Pakistan,Crossfire
Abdul Hakim Shimul,Male,Samakal,"February 3, 2017",Bangladesh,Dangerous Assignment
Abdul Hameed al-Yousef,Male,Kafr Rumah Media Office,"November 10, 2019",Syria,Crossfire
Abdul Haq Baloch,Male,ARY Television,"September 29, 2012",Pakistan,Murder
Abdul Manan Arghand,Male,Kabul News,"April 25, 2018",Afghanistan,Murder
Abdul Nasser Haj Hamdan,Male,Media Office in Binnish,"February 20, 2020",Syria,Crossfire
Abdul Qadir Hajizai,Male,WASH TV,"May 28, 2012",Pakistan,Murder
Abdul Qodus,Male,Aryana TV,"July 22, 2006",Afghanistan,Dangerous Assignment
Abdul Raheem Kour Hassan,Male,Watan FM,Unknown in 2013,Syria,Dangerous Assignment
Abdul Rahman Ismael Yassin,Male,Hammouriyeh Media Office,"February 20, 2018",Syria,Crossfire
Abdul Razzak Johra,Male,Royal TV,"November 3, 2008",Pakistan,Murder
Abdul Salam Kanaan,Male,Al-Jisr TV,"October 31, 2016",Syria,Crossfire
Abdul Samad Rohani,Male,BBC and Pajhwok Afghan News,"June 7 or 8, 2008",Afghanistan,Murder
Abdul Shariff,Male,freelance,"January 9, 1994",South Africa,Crossfire
Abdul Wahab,Male,Express News,"December 6, 2010",Pakistan,Dangerous Assignment
Abdul-Rahim Nasrallah al-Shimari,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder
Abdulai Jumah Jalloh,Male,African Champion,"February 3, 1999",Sierra Leone,Murder
Abdulhadi Habib,Male,"Al-Manara News Agency,HQ News Agency","October 16, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Abdulkadir Ahmed,Male,Freelance,"December 5, 2014",Somalia,Murder
Abdulkadir Mahad Moallim Kaskey,Male,Radio Banadir,"August 24, 2007",Somalia,Crossfire
Abdulkhafar Abdulkadir,Male,freelance,"December 3, 2009",Somalia,Crossfire
Abdullah al-Montasser,Male,Al-Sahat,"February 7, 2018",Yemen,
Abdullah al-Qadry,Male,Belqees TV,"April 13, 2018",Yemen,Crossfire
Abdullah Darwish,Male,Al Aqsa TV,"December 1, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Abdullah Mire Hashi,Male,Darul Sunnah,"October 27, 2018",Somalia,Murder
Abdullah Mohammad Ghannam,Male,Shahba Press Agency,"July 14, 2016",Syria,Crossfire
Abdullah Qabil,Male,"Yemen Youth TV, Belqees TV","May 21, 2015",Yemen,Crossfire
Abdullahi Madkeer,Male,DMC Radio,"January 24, 2003",Somalia,Dangerous Assignment
Abdullahi Osman Moalim,Male,"Jubbaland TV, Codka Hiraan","September 13, 2017",Somalia,Murder
Abdulmalik Akhmedilov,Male,Hakikat and Sogratl,"August 11, 2009",Russia,Murder
Abdulrazak Hashim Ayal al-Khakani,Male,Jumhuriyat al-Iraq,"February 5, 2007",Iraq,Murder
Abshir Ali Gabre,Male,Radio Jowhar,"May 16, 2007",Somalia,Crossfire
Abukar Hassan Mohamoud,Male,Somaliweyn Radio,"February 28, 2012",Somalia,Murder
Achyutananda Sahu,Male,Doordarshan,"October 30, 2018",India,Crossfire
Adam Juma,Male,Raja FM,"January 25, 2015",South Sudan,Murder
Adam Ward,Male,WDBJ7,"August 26, 2015",USA,Dangerous Assignment
Adeeb al-Janani,Male,Belqees TV,"December 30, 2020",Yemen,Dangerous Assignment
Adel Naji al-Mansouri,Male,Al-Alam,"July 29, 2006",Iraq,Murder
Adel Sayegh,Male,Salaheddin TV,August 2015,Iraq,Murder
Adel Zerrouk,Male,Al-Rai,"June 14, 2001",Algeria,Dangerous Assignment
Adham Hassouna,Male,,"December 1, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Adil Bunyatov,Male,Reuters TV and Turan News Agency,"March 17, 1995",Azerbaijan,Crossfire
Adlan Khasanov,Male,Reuters,"May 9, 2004",Russia,Dangerous Assignment
Adnan al-Bayati,Male,TG3,"July 23, 2005",Iraq,Murder
Adnan al-Safi,Male,Al-Anwar,"July 27, 2007",Iraq,Murder
Adnan Khairallah,Male,Wasan Productions and Al-Arabiya,"February 23, 2006",Iraq,Murder
Adolfo Isuiza Urquia,Male,Radio Tropical,"August 23, 1992",Peru,Murder
Adolphe Missamba Ndengi Kavula,Male,Nsemo,"November 12, 1994",Democratic Republic of the Congo,Murder
Adrián Silva Moreno,Male,Freelance,"November 14, 2012",Mexico,Dangerous Assignment
Agus Muliawan,Male,Asia Press International,"September 25, 1999",East Timor,Dangerous Assignment
Ahmad Hallak,Male,Al-Buraq Media Institution,"August 2, 2016",Syria,Crossfire
Ahmad Kareem,Male,Kurdistan TV,"August 25, 2003",Iraq,Crossfire
Ahmad Mohamed Mahmoud,Male,Al-Ta'awun,"February 4, 2011",Egypt,Dangerous Assignment
Ahmad Omaid Khpalwak,Male,"Pajhwok Afghan News, BBC","July 28, 2011",Afghanistan,Crossfire
Ahmad Sha'ban,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder
Ahmad Shah,Male,BBC,"April 30, 2018",Afghanistan,
Ahmed (aka Hakim) Takouchet,Male,Radio Cirta,"June 18, 1995",Algeria,Murder
Ahmed Abdel Gawad,Male,"Al-Akhbar, Misr25","August 14, 2013",Egypt,Dangerous Assignment
Ahmed Abdul Samad,Male,Dijlah TV,"January 10, 2020",Iraq,Dangerous Assignment
Ahmed Abu al-Hamza,Male,"SMART News Agency, Hama Media Center","November 6, 2015",Syria,Crossfire
Ahmed Abu Hussein,Male,"Voice of the People Radio,Bisan News Agency","April 25, 2018",Israel and the Occupied Palestinian Territory,Murder
Ahmed Adam,Male,Al-Mada,"May 15, 2005",Iraq,Murder
Ahmed Addow Anshur,Male,Shabelle Media Network,"May 24, 2012",Somalia,Murder
Ahmed Adnan al-Ashlaq,Male,Shaam News Network,"May 27, 2012",Syria,Crossfire
Ahmed al-Assam,Male,Freelance,"May 28, 2012",Syria,Crossfire
Ahmed Al-Qara,Male,Freelance,"November 10, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Ahmed al-Rubai'i,Male,Al-Sabah,"mid-April, 2005",Iraq,Murder
Ahmed al-Shaibani,Male,"Yaman News, Yemen TV","February 16, 2016",Yemen,Crossfire
Ahmed Assem el-Senousy,Male,Freedom and Justice,"July 8, 2013",Egypt,Dangerous Assignment
Ahmed Azize,Male,Aleppo News Network,"August 10, 2018",Syria,Crossfire
Ahmed Farah Ilyas,Male,Universal TV,"October 23, 2012",Somalia,Murder
Ahmed Fatima,Male,Al Qahera News TV,"November 13, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Ahmed Hadi Naji,Male,Associated Press Television News,"January 5, 2007",Iraq,Murder
Ahmed Haidar,Male,Al-Manar Television,"July 26, 1993",Lebanon,Crossfire
Ahmed Hasan Ahmed,Male,Xinhua News Agency,"June 20, 2014",Syria,Dangerous Assignment
Ahmed Hassan Mahad,Male,Radio Jowhar,"May 16, 2007",Somalia,Crossfire
Ahmed Hussein Al-Maliki,Male,Talafar al-Yawm,"November 7, 2005",Iraq,Murder
Ahmed Hussein-Suale Divela,Male,Tiger Eye Private Investigations,"January 16, 2019",Ghana,Murder
Ahmed Ismail Hassan,Male,Freelance,"March 31, 2012",Bahrain,Dangerous Assignment
Ahmed Issaad,Male,Algerian Television,"November 30, 1994",Algeria,Murder
Ahmed Jabbar Hashim,Male,Al-Sabah,"April 1, 2005",Iraq,Murder
Ahmed Kafi Awale,Male,Radio of the Somali People,"January 26, 2000",Somalia,Dangerous Assignment
Ahmed Mohamed al-Mousa,Male,Raqqa is Being Slaughtered Silently,"December 16, 2015",Syria,Murder
Ahmed Mohamed Shukur,Male,Somali National TV,"September 30, 2022",Somalia,Crossfire
Ahmed Muhana al-Lami,Male,Freelance,"December 6, 2019",Iraq,Dangerous Assignment
Ahmed Rajib Haider,Male,Freelance,"February 15, 2013",Bangladesh,Murder
Ahmed Rilwan Abdulla,Male,Minivan News,"August 8, 2014",Maldives,Murder
Ahmed Riyadh al-Karbouli,Male,Baghdad TV,"September 18, 2006",Iraq,Murder
Ahmed Salim,Male,Al-Sharqiya,"September 13, 2008",Iraq,Murder
Ahmed Shawkat,Male,Bilah Ittijah,"October 28, 2003",Iraq,Murder
Ahmed Shehab,Male,Sowt Al-Asra Radio (Radio Voice of the Prisoners),"October 12, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment
Ahmed Wael Bakri,Male,Al-Sharqiyah,"June 28, 2005",Iraq,Crossfire
Ahmet Haceroğlu,Male,Türkmeneli TV,"October 21, 2016",Iraq,Crossfire
Ahmet Taner Kislali,Male,Cumhuriyet,"October 21, 1999",Turkey,Murder
Aiyathurai Nadesan,Male,Virakesari,"May 31, 2004",Sri Lanka,Murder
Ajay Lalwani,Male,Daily Puchano and Royal News TV,"March 18, 2021",Pakistan,
Ajmal Naqshbandi,Male,freelance,"April 8, 2007",Afghanistan,Murder
Akhmednabi Akhmednabiyev,Male,Novoye Delo,"July 9, 2013",Russia,Murder
Al-Hosseiny Abou Deif,Male,El-Fagr,"December 12, 2012",Egypt,Murder
Al-Moutaz Bellah Ibrahim,Male,Shaam News Network,"May 4, 2014",Syria,Murder
Alaa Abdel-Wahab,Male,Al-Baghdadia TV,"May 31, 2009",Iraq,Crossfire
Alaa Abdul-Karim al-Fartoosi,Male,Al-Forat,"January 29, 2008",Iraq,Crossfire
Alaa Edward Butros,Male,Freelance,"November 24, 2013",Iraq,Murder
Alaa Kraym (Mohammed al-Qabouni),Male,Qaboun Media Center,"May 4, 2017",Syria,Crossfire
Alaa Nayef al-Khader al-Khalidi,Male,Douma Coordination Office,"Between September 2016 and July 12, 2019",Syria,Unknown
Alaa Uldeen Aziz,Male,ABC News,"May 17, 2007",Iraq,Murder
Alberto Graves Chakussanga,Male,Radio Despertar,"September 5, 2010",Angola,Murder
Alberto Rivera Fernández,Male,Frecuencia Oriental,"April 12, 2004",Peru,Murder
Aleh Byabenin,Male,Charter 97,"September 3, 2010",Belarus,Murder
Alejandro Pérez,Male,Channel 2-Frequencia Latina TV,"June 5, 1992",Peru,Murder
Alejandro Reblando,Male,Manila Bulletin,"November 23, 2009",Philippines,Murder
Alejandro Zenón Fonseca Estrada,Male,EXA FM,"September 24, 2008",Mexico,Murder
Aleksandr Rastorguyev,Male,The Investigations Management Centre (TsUR),"July 30, 2018",Central African Republic,Murder
Aleksandr Sidelnikov,Male,Lennauchfilm Studio,"October 4, 1993",Russia,Dangerous Assignment
Aleksandr Smirnov,Male,Molodyozhny Kuryer,"October 4, 1993",Russia,Dangerous Assignment
Aleksandr Yefremov,Male,Nashe Vremya,"May 12, 2000",Russia,Crossfire
Aleksandre Lashkarava,Male,TV Pirveli,"July 11, 2021",Georgia,
Aleksei Sidorov,Male,Tolyatinskoye Obozreniye,"October 9, 2003",Russia,Murder
Alessandro Otta,Male,RAI-TV,"January 28, 1994",Bosnia,Crossfire
Alex Ogbu,Male,Regent Africa Times,"January 21, 2020",Nigeria,
Alexánder Álvarez,Male,Radio Urundey,"February 14, 2023",Paraguay,
Alexander Klimchuk,Male,Caucasus Images,"August 10, 2008",Georgia,Crossfire
Alexis Bandyatuyaga,Male,National Radio and Television of Burundi,"September 14, 1994",Burundi,Murder
Alfonso Margarito Martínez Esquivel,Male,Freelance,"January 17, 2022",Mexico,Murder
Alfredo Abad López,Male,La Voz de la Selva,"December 13, 2000",Colombia,Murder
Alfredo Antonio Hurtado Núñez,Male,Canal 33,"April 25, 2011",El Salvador,Murder
Alfredo Cardoso Echeverría,Male,Las Dos Costas,"October 31, 2021",Mexico,Murder
Alfrets Mirulewan,Male,Pelangi Weekly,"December 17, 2010",Indonesia,Murder
Ali Abbas,Male,SANA,"August 11, 2012",Syria,Murder
Ali Abboud,Male,Radio Chaine 1,"January 7, 1995",Algeria,Murder
Ali Abdel Aziz,Male,Al-Arabiya,"March 18, 2004",Iraq,Crossfire
Ali Ahmed Abdi,Male,Freelance,"March 4, 2012",Somalia,Murder
Ali al-Khatib,Male,Al-Arabiya,"March 19, 2004",Iraq,Crossfire
Ali Boukerbache,Male,Media-TV,"March 21, 1995",Algeria,Murder
Ali Hassan al-Jaber,Male,Al-Jazeera,"March 13, 2011",Libya,Crossfire
Ali Ibrahim Issa,Male,Al-Hurriya,"April 14, 2005",Iraq,Crossfire
Ali Jaafar,Male,Al-Iraqiya,"May 31, 2006",Iraq,Murder
Ali Mahmoud Othman,Male,Freelance,"December 30, 2013",Syria,Unknown
Ali Mahmud,Male,Al-Ghadeer TV,"July 13, 2016",Iraq,Crossfire
Ali Mustafa,Male,Freelance,"March 9, 2014",Syria,Crossfire
Ali Nur Siad,Male,Voice of America,"October 14, 2017",Somalia,Dangerous Assignment
Ali Risan,Male,Al-Sumaria TV,"October 22, 2016",Iraq,Crossfire
Ali Saleemi,Male,Mashal TV,"April 30, 2018",Afghanistan,Murder
Ali Shaaban,Male,Al-Jadeed,"April 9, 2012",Lebanon,Crossfire
Ali Sharmarke,Male,HornAfrik,"August 11, 2007",Somalia,Murder
Alisher Saipov,Male,Siyosat,"October 24, 2007",Kyrgyzstan,Murder
Allah Noor,Male,Khyber TV,"February 7, 2005",Pakistan,Murder
Allaoua Ait M'barak,Male,Le Soir d'Algérie,"February 11, 1996",Algeria,Murder
Almigdad Mojalli,Male,Freelance,"January 17, 2016",Yemen,Crossfire
Aloys Nyimbuzi,Male,L'Observateur,"April 7, 1994",Rwanda,Murder
Alpha Amadu Bah,Male,Independent Observer,"January 17, 1999",Sierra Leone,Murder
Altaf Ahmed Faktoo,Male,Doordarshan TV,"January 1, 1997",India,Murder
Alwan al-Ghorabi,Male,Afaq,"June 21, 2011",Iraq,Dangerous Assignment
Amado Ramírez Dillanes,Male,Televisa and Radiorama,"April 6, 2007",Mexico,Murder
Amer Diab,Male,Freelance,"March 29, 2013",Syria,Crossfire
Amer Malallah al-Rashidi,Male,Al-Mosuliya,"September 3, 2007",Iraq,Murder
Ameur Ouagueni,Male,Le Matin,"August 20, 1995",Algeria,Murder
Amir Nowab,Male,Associated Press Television News and Frontier Post,"February 7, 2005",Pakistan,Murder
Amjad Anas Aktalati,Male,Freelance,"February 4, 2020",Syria,Crossfire
Amjad Hameed,Male,Al-Iraqiya,"March 11, 2006",Iraq,Murder
