name,gender,organization,date,location,type_of_death,attack,role,region,year
Naqshin Hamma Rashid,Female,Atyaf,"October 29, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006.0
Natalya Alyakina,Female,Focus and RUFA,"June 17, 1995",Russia,Crossfire,Killed,Journalist,All other countries,1995.0
Natalya Estemirova,Female,"Novaya Gazeta, Kavkazsky Uzel","July 15, 2009",Russia,Murder,Killed,Journalist,All other countries,2009.0
Natalya Skryl,Female,Nashe Vremya,"March 9, 2002",Russia,Murder,Killed,Journalist,All other countries,2002.0
Nawras al-Nuaimi,Female,Al-Mosuliya TV,"December 15, 2013",Iraq,Murder,Killed,Journalist,Middle East,2013.0
Nina Yefimova,Female,Vozrozhdeniye,"May 9, 1996",Russia,Murder,Killed,Journalist,All other countries,1996.0
Norma Sarabia Garduza,Female,"Tabasco Hoy,Diario Presente","June 11, 2019",Mexico,Murder,Killed,Journalist,All other countries,2019.0
Ogulsapar Muradova,Female,Radio Free Europe/Radio Liberty,September 2006,Turkmenistan,Murder,Killed,Journalist,All other countries,
Oksana Baulina,Female,The Insider,"March 23, 2022",Ukraine,Crossfire,Killed,Journalist,All other countries,2022.0
Oksana Haidar,Female,Unknown,"March 11-April 7, 2022",Ukraine,Dangerous Assignment,Killed,Journalist,All other countries,2022.0
Oleksandra Kuvshynova,Female,Fox News,"March 14, 2022",Ukraine,Crossfire,Killed,Journalist,All other countries,2022.0
Oralgaisha Omarshanova (Zhabagtaikyzy),Female,Zakon i Pravosudiye,"On or after March 30, 2007",Kazakhstan,Motive Unconfirmed,Killed,Journalist,All other countries,2007.0
Rachida Hammadi,Female,Algerian State Television,"March 31, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995.0
Radoslava Dada Vujasinovic,Female,Duga,"April 8, 1994",Serbia,Motive Unconfirmed,Killed,Journalist,All other countries,1994.0
Raeda Wazzan,Female,Al-Iraqiya,"February 25, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005.0
Randa George,Female,Raja FM,"January 25, 2015",South Sudan,Murder,Killed,Journalist,All other countries,2015.0
Rasha Abdullah al-Harazi,Female,"Al-Ain,Bloomberg Asharq","November 9, 2021",Yemen,Motive Unconfirmed,Killed,Journalist,Middle East,2021.0
Regina Martínez Pérez,Female,Proceso,"April 28, 2012",Mexico,Murder,Killed,Journalist,All other countries,2012.0
Relangi Selvarajah,Female,Sri Lanka Rupavahini Corp.,"August 12, 2005",Sri Lanka,Murder,Killed,Journalist,All other countries,2005.0
Rubylita Garcia,Female,"Remate, dwAD","April 6, 2014",Philippines,Murder,Killed,Journalist,All other countries,2014.0
Sagal Salad Osman,Female,Radio Mogadishu,"June 5, 2016",Somalia,Murder,Killed,Journalist,All other countries,2016.0
Sahar Hussein Ali al-Haydari,Female,National Iraqi News Agency and Aswat al-Iraq,"June 7, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007.0
Saïda Djebaili,Female,Al-Hayat al-Arabia,"October 17, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995.0
Salam Mema,Female,Unknown,"October 13, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023.0
Sarwa Abdul-Wahab,Female,Freelancer,"May 4, 2008",Iraq,Murder,Killed,Journalist,Middle East,2008.0
Shai Regev,Female,Ma’ariv,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023.0
Shaima El-Gazzar,Female,Al-Majedat network,"December 3, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023.0
Sheila Johana García Olivera,Female,El Veraz,"May 9, 2022",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2022.0
Shifa Zikri Ibrahim (Shifa Gardi),Female,Rudaw TV,"February 25, 2017",Iraq,Crossfire,Killed,Journalist,Middle East,2017.0
Shireen Abu Akleh,Female,Al-Jazeera,"May 11, 2022",Israel and the Occupied Palestinian Territory,Murder,Killed,Journalist,Middle East,2022.0
Shoba,Female,O'liveechchu,"May 18 or 19, 2009",Sri Lanka,Crossfire,Killed,Journalist,All other countries,2009.0
Sonia Isabel Alvarado Huayunga,Female,Radio Láser,"December 7 to December 9, 2019",Peru,Motive Unconfirmed,Killed,Journalist,All other countries,2019.0
Tuba Akyılmaz (Nujiyan Erhan),Female,"Jin News Agency (JINHA), Roj News, Gazete Sujin","March 25, 2017",Iraq,Motive Unconfirmed,Killed,Journalist,Middle East,2017.0
Uma Singh,Female,"Janakpur Today, Radio Today","January 11, 2009",Nepal,Murder,Killed,Journalist,All other countries,2009.0
Veronica Guerin,Female,Sunday Independent,"June 26, 1996",Ireland,Murder,Killed,Journalist,All other countries,1996.0
Veronique Robert,Female,#5BisProduction,"June 24, 2017",Iraq,Crossfire,Killed,Journalist,Middle East,2017.0
Viktoria Marinova,Female,TVN,"October 6, 2018",Bulgaria,Motive Unconfirmed,Killed,Journalist,All other countries,2018.0
Vira Hyrych,Female,Radio Free Europe/Radio Liberty,"April 28, 2022",Ukraine,Dangerous Assignment,Killed,Journalist,All other countries,2022.0
Wassan Al-Azzawi,Female,Salaheddin TV,"December 23, 2013",Iraq,Murder,Killed,Journalist,Middle East,2013.0
Wendi Winters,Female,Capital Gazette,"June 28, 2018",USA,Murder,Killed,Journalist,All other countries,2018.0
Winifrida Mukamana,Female,Reba Videwo,"April 7, 1994",Rwanda,Murder,Killed,Journalist,All other countries,1994.0
Yara Abbas,Female,Al-Ikhbariya,"May 27, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013.0
Yasmina Brikh,Female,Algerian Radio,"September 4, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995.0
Yasmina Drici,Female,Le Soir d'Alégrie,"July 10, 1999",Algeria,Murder,Killed,Journalist,All other countries,1999.0
Yessenia Mollinedo Falconi,Female,El Veraz,"May 9, 2022",Mexico,Crossfire,Killed,Journalist,All other countries,2022.0
Zahra Kazemi,Female,Freelancer,"July 10, 2003",Iran,Murder,Killed,Journalist,Middle East,2003.0
Zakia Zaki,Female,Sada-i-Sulh,"June 4, 2007",Afghanistan,Crossfire,Killed,Journalist,All other countries,2007.0
Abadullah Hananzai,Male,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,Murder,Killed,Journalist,All other countries,2018.0
Abay Hailu,Male,Agiere,"February 9, 1998",Ethiopia,Dangerous Assignment,Killed,Journalist,All other countries,1998.0
Abd al-Karim al-Ezzo,Male,Freelancer,"December 21, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012.0
Abdallah Bouhachek,Male,Révolution et Travail,"February 10, 1996",Algeria,Murder,Killed,Journalist,All other countries,1996.0
Abdel Aziz Mahmoud Hasoun,Male,Masar Press,"September 5, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013.0
Abdel Karim al-Oqda,Male,Shaam News Network,"September 19, 2012",Syria,Murder,Killed,Journalist,Middle East,2012.0
Abdel Karim al-Rubai,Male,Al-Sabah,"September 9, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006.0
Abdel Karim Nazir Ismail,Male,Freelancer,"January 31, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013.0
Abdel Sattar Abdel Karim,Male,Al Ta'akhy,"February 1, 2004",Iraq,Crossfire,Killed,Journalist,Middle East,2004.0
Abdelhamid Benmeni,Male,Algérie-Actualité,"August 9, 1993",Algeria,Murder,Killed,Journalist,All other countries,1993.0
Abdelhamid Yahiaoui,Male,El-Chaab,"January 12, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995.0
Abdelkader Hireche,Male,Algerian Television (ENTV),"February 28, 1994",Algeria,Murder,Killed,Journalist,All other countries,1994.0
Abdelqadir Fassouk,Male,Arraed Satellite TV,"July 21, 2016",Libya,Crossfire,Killed,Journalist,All other countries,2016.0
Abderrahmane Chergou,Male,Freelancer,"September 28, 1993",Algeria,Murder,Killed,Journalist,All other countries,1993.0
Abdiaziz Ali,Male,Radio Shabelle,"September 27, 2016",Somalia,Murder,Killed,Journalist,All other countries,2016.0
Abdiaziz Mohamud Guled,Male,Radio Mogadishu,"November 20, 2021",Somalia,Murder,Killed,Journalist,All other countries,2021.0
Abdihared Osman Aden,Male,Shabelle Media Network,"January 18, 2013",Somalia,Murder,Killed,Journalist,All other countries,2013.0
Abdinasir Abdulle Ga’al,Male,Somali National Army Radio,"August 14, 2019",Somalia,Dangerous Assignment,Killed,Journalist,All other countries,2019.0
Abdirahman Yasin Ali,Male,Radio Hamar,"September 20, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012.0
Abdirisak Mohamed Warsame,Male,Radio Shabelle,"May 22, 2009",Somalia,Crossfire,Killed,Journalist,All other countries,2009.0
Abdirisak Said Osman,Male,Codka Nabada,"September 19, 2018",Somalia,Motive Unconfirmed,Killed,Journalist,All other countries,2018.0
Abdirizak Ali Abdi,Male,"Radio Daljir,Horn Cable TV","November 16, 2014",Somalia,Murder,Killed,Journalist,All other countries,2014.0
Abdirizak Kasim Iman,Male,SBS TV,"July 26, 2018",Somalia,Motive Unconfirmed,Killed,Journalist,All other countries,2018.0
Abdisalan Sheikh Hassan,Male,Freelancer,"December 18, 2011",Somalia,Murder,Killed,Journalist,All other countries,2011.0
Abdisatar Daher Sabriye,Male,Radio Mogadishu,"September 20, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012.0
Abdiwali Ali Hassan,Male,"Freelance; Universal TV, Radio Kulmiye","February 16, 2020",Somalia,Murder,Killed,Journalist,All other countries,2020.0
Abdul Aziz Shaheen,Male,Azadi,"August 29, 2008",Pakistan,Crossfire,Killed,Journalist,All other countries,2008.0
Abdul Hakim Shimul,Male,Samakal,"February 3, 2017",Bangladesh,Dangerous Assignment,Killed,Journalist,All other countries,2017.0
Abdul Hameed al-Yousef,Male,Kafr Rumah Media Office,"November 10, 2019",Syria,Crossfire,Killed,Journalist,Middle East,2019.0
Abdul Haq Baloch,Male,ARY Television,"September 29, 2012",Pakistan,Murder,Killed,Journalist,All other countries,2012.0
Abdul Manan Arghand,Male,Kabul News,"April 25, 2018",Afghanistan,Murder,Killed,Journalist,All other countries,2018.0
Abdul Nasser Haj Hamdan,Male,Media Office in Binnish,"February 20, 2020",Syria,Crossfire,Killed,Journalist,Middle East,2020.0
Abdul Qadir Hajizai,Male,WASH TV,"May 28, 2012",Pakistan,Murder,Killed,Journalist,All other countries,2012.0
Abdul Qodus,Male,Aryana TV,"July 22, 2006",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2006.0
Abdul Raheem Kour Hassan,Male,Watan FM,Unknown in 2013,Syria,Dangerous Assignment,Killed,Journalist,Middle East,
Abdul Rahman Ismael Yassin,Male,Hammouriyeh Media Office,"February 20, 2018",Syria,Crossfire,Killed,Journalist,Middle East,2018.0
Abdul Razzak Johra,Male,Royal TV,"November 3, 2008",Pakistan,Murder,Killed,Journalist,All other countries,2008.0
Abdul Salam Kanaan,Male,Al-Jisr TV,"October 31, 2016",Syria,Crossfire,Killed,Journalist,Middle East,2016.0
Abdul Samad Rohani,Male,BBC and Pajhwok Afghan News,"June 7 or 8, 2008",Afghanistan,Murder,Killed,Journalist,All other countries,2008.0
Abdul Shariff,Male,Freelancer,"January 9, 1994",South Africa,Crossfire,Killed,Journalist,All other countries,1994.0
Abdul Wahab,Male,Express News,"December 6, 2010",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2010.0
Abdul-Rahim Nasrallah al-Shimari,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006.0
Abdulai Jumah Jalloh,Male,African Champion,"February 3, 1999",Sierra Leone,Murder,Killed,Journalist,All other countries,1999.0
Abdulhadi Habib,Male,"Al-Manara News Agency,HQ News Agency","October 16, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023.0
Abdulkadir Ahmed,Male,Freelancer,"December 5, 2014",Somalia,Murder,Killed,Journalist,All other countries,2014.0
Abdulkadir Mahad Moallim Kaskey,Male,Radio Banadir,"August 24, 2007",Somalia,Crossfire,Killed,Journalist,All other countries,2007.0
Abdulkhafar Abdulkadir,Male,Freelancer,"December 3, 2009",Somalia,Crossfire,Killed,Journalist,All other countries,2009.0
Abdullah al-Montasser,Male,Al-Sahat,"February 7, 2018",Yemen,Motive Unconfirmed,Killed,Journalist,Middle East,2018.0
Abdullah al-Qadry,Male,Belqees TV,"April 13, 2018",Yemen,Crossfire,Killed,Journalist,Middle East,2018.0
Abdullah Darwish,Male,Al Aqsa TV,"December 1, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023.0
Abdullah Mire Hashi,Male,Darul Sunnah,"October 27, 2018",Somalia,Murder,Killed,Journalist,All other countries,2018.0
Abdullah Mohammad Ghannam,Male,Shahba Press Agency,"July 14, 2016",Syria,Crossfire,Killed,Journalist,Middle East,2016.0
Abdullah Qabil,Male,"Yemen Youth TV, Belqees TV","May 21, 2015",Yemen,Crossfire,Killed,Journalist,Middle East,2015.0
Abdullahi Madkeer,Male,DMC Radio,"January 24, 2003",Somalia,Dangerous Assignment,Killed,Journalist,All other countries,2003.0
Abdullahi Osman Moalim,Male,"Jubbaland TV, Codka Hiraan","September 13, 2017",Somalia,Murder,Killed,Journalist,All other countries,2017.0
Abdulmalik Akhmedilov,Male,Hakikat and Sogratl,"August 11, 2009",Russia,Murder,Killed,Journalist,All other countries,2009.0
Abdulrazak Hashim Ayal al-Khakani,Male,Jumhuriyat al-Iraq,"February 5, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007.0
Abshir Ali Gabre,Male,Radio Jowhar,"May 16, 2007",Somalia,Crossfire,Killed,Journalist,All other countries,2007.0
Abukar Hassan Mohamoud,Male,Somaliweyn Radio,"February 28, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012.0
Achyutananda Sahu,Male,Doordarshan,"October 30, 2018",India,Crossfire,Killed,Journalist,All other countries,2018.0
Adam Juma,Male,Raja FM,"January 25, 2015",South Sudan,Murder,Killed,Journalist,All other countries,2015.0
Adam Ward,Male,WDBJ7,"August 26, 2015",USA,Dangerous Assignment,Killed,Journalist,All other countries,2015.0
Adeeb al-Janani,Male,Belqees TV,"December 30, 2020",Yemen,Dangerous Assignment,Killed,Journalist,Middle East,2020.0
Adel Naji al-Mansouri,Male,Al-Alam,"July 29, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006.0
Adel Sayegh,Male,Salaheddin TV,August 2015,Iraq,Murder,Killed,Journalist,Middle East,
Adel Zerrouk,Male,Al-Rai,"June 14, 2001",Algeria,Dangerous Assignment,Killed,Journalist,All other countries,2001.0
Adham Hassouna,Male,Unknown,"December 1, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023.0
Adil Bunyatov,Male,Reuters TV and Turan News Agency,"March 17, 1995",Azerbaijan,Crossfire,Killed,Journalist,All other countries,1995.0
Adlan Khasanov,Male,Reuters,"May 9, 2004",Russia,Dangerous Assignment,Killed,Journalist,All other countries,2004.0
Adnan al-Bayati,Male,TG3,"July 23, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005.0
Adnan al-Safi,Male,Al-Anwar,"July 27, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007.0
Adnan Khairallah,Male,Wasan Productions and Al-Arabiya,"February 23, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006.0
Adolfo Isuiza Urquia,Male,Radio Tropical,"August 23, 1992",Peru,Murder,Killed,Journalist,All other countries,1992.0
Adolphe Missamba Ndengi Kavula,Male,Nsemo,"November 12, 1994",Democratic Republic of the Congo,Murder,Killed,Journalist,All other countries,1994.0
Adrián Silva Moreno,Male,Freelancer,"November 14, 2012",Mexico,Dangerous Assignment,Killed,Journalist,All other countries,2012.0
Agus Muliawan,Male,Asia Press International,"September 25, 1999",East Timor,Dangerous Assignment,Killed,Journalist,All other countries,1999.0
Ahmad Hallak,Male,Al-Buraq Media Institution,"August 2, 2016",Syria,Crossfire,Killed,Journalist,Middle East,2016.0
Ahmad Kareem,Male,Kurdistan TV,"August 25, 2003",Iraq,Crossfire,Killed,Journalist,Middle East,2003.0
Ahmad Mohamed Mahmoud,Male,Al-Ta'awun,"February 4, 2011",Egypt,Dangerous Assignment,Killed,Journalist,Middle East,2011.0
Ahmad Omaid Khpalwak,Male,"Pajhwok Afghan News, BBC","July 28, 2011",Afghanistan,Crossfire,Killed,Journalist,All other countries,2011.0
Ahmad Sha'ban,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006.0
Ahmad Shah,Male,BBC,"April 30, 2018",Afghanistan,Motive Unconfirmed,Killed,Journalist,All other countries,2018.0
Ahmed (aka Hakim) Takouchet,Male,Radio Cirta,"June 18, 1995",Algeria,Murder,Killed,Journalist,All other countries,1995.0
Ahmed Abdel Gawad,Male,"Al-Akhbar, Misr25","August 14, 2013",Egypt,Dangerous Assignment,Killed,Journalist,Middle East,2013.0
Ahmed Abdul Samad,Male,Dijlah TV,"January 10, 2020",Iraq,Dangerous Assignment,Killed,Journalist,Middle East,2020.0
Ahmed Abu al-Hamza,Male,"SMART News Agency, Hama Media Center","November 6, 2015",Syria,Crossfire,Killed,Journalist,Middle East,2015.0
Ahmed Abu Hussein,Male,"Voice of the People Radio,Bisan News Agency","April 25, 2018",Israel and the Occupied Palestinian Territory,Murder,Killed,Journalist,Middle East,2018.0
Ahmed Adam,Male,Al-Mada,"May 15, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005.0
Ahmed Addow Anshur,Male,Shabelle Media Network,"May 24, 2012",Somalia,Murder,Killed,Journalist,All other countries,2012.0
Ahmed Adnan al-Ashlaq,Male,Shaam News Network,"May 27, 2012",Syria,Crossfire,Killed,Journalist,Middle East,2012.0
