name,gender,organization,date,location,type_of_death,attack,role,region,year
Regina Martínez Pérez,Female,Proceso,"April 28, 2012",Mexico,Murder,Killed,Journalist,,2012
Relangi Selvarajah,Female,Sri Lanka Rupavahini Corp.,"August 12, 2005",Sri Lanka,Murder,Killed,Journalist,,2005
Rubylita Garcia,Female,"Remate, dwAD","April 6, 2014",Philippines,Murder,Killed,Journalist,,2014
Sagal Salad Osman,Female,Radio Mogadishu,"June 5, 2016",Somalia,Murder,Killed,Journalist,,2016
Sahar Hussein Ali al-Haydari,Female,National Iraqi News Agency and Aswat al-Iraq,"June 7, 2007",Iraq,Murder,Killed,Journalist,,2007
Saïda Djebaili,Female,Al-Hayat al-Arabia,"October 17, 1995",Algeria,Murder,Killed,Journalist,,1995
Salam Mema,Female,Unknown,"October 13, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Sarwa Abdul-Wahab,Female,Freelancer,"May 4, 2008",Iraq,Murder,Killed,Journalist,,2008
Shai Regev,Female,Ma’ariv,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Shaima El-Gazzar,Female,Al-Majedat network,"December 3, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Sheila Johana García Olivera,Female,El Veraz,"May 9, 2022",Mexico,Motive Unconfirmed,Killed,Journalist,,2022
Shifa Zikri Ibrahim (Shifa Gardi),Female,Rudaw TV,"February 25, 2017",Iraq,Crossfire,Killed,Journalist,,2017
Shireen Abu Akleh,Female,Al-Jazeera,"May 11, 2022",Israel and the Occupied Palestinian Territory,Murder,Killed,Journalist,,2022
Shoba,Female,O'liveechchu,"May 18 or 19, 2009",Sri Lanka,Crossfire,Killed,Journalist,,2009
Sonia Isabel Alvarado Huayunga,Female,Radio Láser,"December 7 to December 9, 2019",Peru,Motive Unconfirmed,Killed,Journalist,,2019
Tuba Akyılmaz (Nujiyan Erhan),Female,"Jin News Agency (JINHA), Roj News, Gazete Sujin","March 25, 2017",Iraq,Motive Unconfirmed,Killed,Journalist,,2017
Uma Singh,Female,"Janakpur Today, Radio Today","January 11, 2009",Nepal,Murder,Killed,Journalist,,2009
Veronica Guerin,Female,Sunday Independent,"June 26, 1996",Ireland,Murder,Killed,Journalist,,1996
Veronique Robert,Female,#5BisProduction,"June 24, 2017",Iraq,Crossfire,Killed,Journalist,,2017
Viktoria Marinova,Female,TVN,"October 6, 2018",Bulgaria,Motive Unconfirmed,Killed,Journalist,,2018
Vira Hyrych,Female,Radio Free Europe/Radio Liberty,"April 28, 2022",Ukraine,Dangerous Assignment,Killed,Journalist,,2022
Wassan Al-Azzawi,Female,Salaheddin TV,"December 23, 2013",Iraq,Murder,Killed,Journalist,,2013
Wendi Winters,Female,Capital Gazette,"June 28, 2018",USA,Murder,Killed,Journalist,,2018
Winifrida Mukamana,Female,Reba Videwo,"April 7, 1994",Rwanda,Murder,Killed,Journalist,,1994
Yara Abbas,Female,Al-Ikhbariya,"May 27, 2013",Syria,Crossfire,Killed,Journalist,,2013
Yasmina Brikh,Female,Algerian Radio,"September 4, 1995",Algeria,Murder,Killed,Journalist,,1995
Yasmina Drici,Female,Le Soir d'Alégrie,"July 10, 1999",Algeria,Murder,Killed,Journalist,,1999
Yessenia Mollinedo Falconi,Female,El Veraz,"May 9, 2022",Mexico,Crossfire,Killed,Journalist,,2022
Zahra Kazemi,Female,Freelancer,"July 10, 2003",Iran,Murder,Killed,Journalist,,2003
Zakia Zaki,Female,Sada-i-Sulh,"June 4, 2007",Afghanistan,Crossfire,Killed,Journalist,,2007
Abadullah Hananzai,Male,"Radio Azadi,Radio Free Europe/Radio Liberty","April 30, 2018",Afghanistan,Murder,Killed,Journalist,,2018
Abay Hailu,Male,Agiere,"February 9, 1998",Ethiopia,Dangerous Assignment,Killed,Journalist,,1998
Abd al-Karim al-Ezzo,Male,Freelancer,"December 21, 2012",Syria,Crossfire,Killed,Journalist,,2012
Abdallah Bouhachek,Male,Révolution et Travail,"February 10, 1996",Algeria,Murder,Killed,Journalist,,1996
Abdel Aziz Mahmoud Hasoun,Male,Masar Press,"September 5, 2013",Syria,Crossfire,Killed,Journalist,,2013
Abdel Karim al-Oqda,Male,Shaam News Network,"September 19, 2012",Syria,Murder,Killed,Journalist,,2012
Abdel Karim al-Rubai,Male,Al-Sabah,"September 9, 2006",Iraq,Murder,Killed,Journalist,,2006
Abdel Karim Nazir Ismail,Male,Freelancer,"January 31, 2013",Syria,Crossfire,Killed,Journalist,,2013
Abdel Sattar Abdel Karim,Male,Al Ta'akhy,"February 1, 2004",Iraq,Crossfire,Killed,Journalist,,2004
Abdelhamid Benmeni,Male,Algérie-Actualité,"August 9, 1993",Algeria,Murder,Killed,Journalist,,1993
Abdelhamid Yahiaoui,Male,El-Chaab,"January 12, 1995",Algeria,Murder,Killed,Journalist,,1995
Abdelkader Hireche,Male,Algerian Television (ENTV),"February 28, 1994",Algeria,Murder,Killed,Journalist,,1994
Abdelqadir Fassouk,Male,Arraed Satellite TV,"July 21, 2016",Libya,Crossfire,Killed,Journalist,,2016
Abderrahmane Chergou,Male,Freelancer,"September 28, 1993",Algeria,Murder,Killed,Journalist,,1993
Abdiaziz Ali,Male,Radio Shabelle,"September 27, 2016",Somalia,Murder,Killed,Journalist,,2016
Abdiaziz Mohamud Guled,Male,Radio Mogadishu,"November 20, 2021",Somalia,Murder,Killed,Journalist,,2021
Abdihared Osman Aden,Male,Shabelle Media Network,"January 18, 2013",Somalia,Murder,Killed,Journalist,,2013
Abdinasir Abdulle Ga’al,Male,Somali National Army Radio,"August 14, 2019",Somalia,Dangerous Assignment,Killed,Journalist,,2019
Abdirahman Yasin Ali,Male,Radio Hamar,"September 20, 2012",Somalia,Murder,Killed,Journalist,,2012
Abdirisak Mohamed Warsame,Male,Radio Shabelle,"May 22, 2009",Somalia,Crossfire,Killed,Journalist,,2009
Abdirisak Said Osman,Male,Codka Nabada,"September 19, 2018",Somalia,Motive Unconfirmed,Killed,Journalist,,2018
Abdirizak Ali Abdi,Male,"Radio Daljir,Horn Cable TV","November 16, 2014",Somalia,Murder,Killed,Journalist,,2014
Abdirizak Kasim Iman,Male,SBS TV,"July 26, 2018",Somalia,Motive Unconfirmed,Killed,Journalist,,2018
Abdisalan Sheikh Hassan,Male,Freelancer,"December 18, 2011",Somalia,Murder,Killed,Journalist,,2011
Abdisatar Daher Sabriye,Male,Radio Mogadishu,"September 20, 2012",Somalia,Murder,Killed,Journalist,,2012
Abdiwali Ali Hassan,Male,"Freelance; Universal TV, Radio Kulmiye","February 16, 2020",Somalia,Murder,Killed,Journalist,,2020
Abdul Aziz Shaheen,Male,Azadi,"August 29, 2008",Pakistan,Crossfire,Killed,Journalist,,2008
Abdul Hakim Shimul,Male,Samakal,"February 3, 2017",Bangladesh,Dangerous Assignment,Killed,Journalist,,2017
Abdul Hameed al-Yousef,Male,Kafr Rumah Media Office,"November 10, 2019",Syria,Crossfire,Killed,Journalist,,2019
Abdul Haq Baloch,Male,ARY Television,"September 29, 2012",Pakistan,Murder,Killed,Journalist,,2012
Abdul Manan Arghand,Male,Kabul News,"April 25, 2018",Afghanistan,Murder,Killed,Journalist,,2018
Abdul Nasser Haj Hamdan,Male,Media Office in Binnish,"February 20, 2020",Syria,Crossfire,Killed,Journalist,,2020
Abdul Qadir Hajizai,Male,WASH TV,"May 28, 2012",Pakistan,Murder,Killed,Journalist,,2012
Abdul Qodus,Male,Aryana TV,"July 22, 2006",Afghanistan,Dangerous Assignment,Killed,Journalist,,2006
Abdul Raheem Kour Hassan,Male,Watan FM,Unknown in 2013,Syria,Dangerous Assignment,Killed,Journalist,,
Abdul Rahman Ismael Yassin,Male,Hammouriyeh Media Office,"February 20, 2018",Syria,Crossfire,Killed,Journalist,,2018
Abdul Razzak Johra,Male,Royal TV,"November 3, 2008",Pakistan,Murder,Killed,Journalist,,2008
Abdul Salam Kanaan,Male,Al-Jisr TV,"October 31, 2016",Syria,Crossfire,Killed,Journalist,,2016
Abdul Samad Rohani,Male,BBC and Pajhwok Afghan News,"June 7 or 8, 2008",Afghanistan,Murder,Killed,Journalist,,2008
Abdul Shariff,Male,Freelancer,"January 9, 1994",South Africa,Crossfire,Killed,Journalist,,1994
Abdul Wahab,Male,Express News,"December 6, 2010",Pakistan,Dangerous Assignment,Killed,Journalist,,2010
Abdul-Rahim Nasrallah al-Shimari,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder,Killed,Journalist,,2006
Abdulai Jumah Jalloh,Male,African Champion,"February 3, 1999",Sierra Leone,Murder,Killed,Journalist,,1999
Abdulhadi Habib,Male,"Al-Manara News Agency,HQ News Agency","October 16, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Abdulkadir Ahmed,Male,Freelancer,"December 5, 2014",Somalia,Murder,Killed,Journalist,,2014
Abdulkadir Mahad Moallim Kaskey,Male,Radio Banadir,"August 24, 2007",Somalia,Crossfire,Killed,Journalist,,2007
Abdulkhafar Abdulkadir,Male,Freelancer,"December 3, 2009",Somalia,Crossfire,Killed,Journalist,,2009
Abdullah al-Montasser,Male,Al-Sahat,"February 7, 2018",Yemen,Motive Unconfirmed,Killed,Journalist,,2018
Abdullah al-Qadry,Male,Belqees TV,"April 13, 2018",Yemen,Crossfire,Killed,Journalist,,2018
Abdullah Darwish,Male,Al Aqsa TV,"December 1, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Abdullah Mire Hashi,Male,Darul Sunnah,"October 27, 2018",Somalia,Murder,Killed,Journalist,,2018
Abdullah Mohammad Ghannam,Male,Shahba Press Agency,"July 14, 2016",Syria,Crossfire,Killed,Journalist,,2016
Abdullah Qabil,Male,"Yemen Youth TV, Belqees TV","May 21, 2015",Yemen,Crossfire,Killed,Journalist,,2015
Abdullahi Madkeer,Male,DMC Radio,"January 24, 2003",Somalia,Dangerous Assignment,Killed,Journalist,,2003
Abdullahi Osman Moalim,Male,"Jubbaland TV, Codka Hiraan","September 13, 2017",Somalia,Murder,Killed,Journalist,,2017
Abdulmalik Akhmedilov,Male,Hakikat and Sogratl,"August 11, 2009",Russia,Murder,Killed,Journalist,,2009
Abdulrazak Hashim Ayal al-Khakani,Male,Jumhuriyat al-Iraq,"February 5, 2007",Iraq,Murder,Killed,Journalist,,2007
Abshir Ali Gabre,Male,Radio Jowhar,"May 16, 2007",Somalia,Crossfire,Killed,Journalist,,2007
Abukar Hassan Mohamoud,Male,Somaliweyn Radio,"February 28, 2012",Somalia,Murder,Killed,Journalist,,2012
Achyutananda Sahu,Male,Doordarshan,"October 30, 2018",India,Crossfire,Killed,Journalist,,2018
Adam Juma,Male,Raja FM,"January 25, 2015",South Sudan,Murder,Killed,Journalist,,2015
Adam Ward,Male,WDBJ7,"August 26, 2015",USA,Dangerous Assignment,Killed,Journalist,,2015
Adeeb al-Janani,Male,Belqees TV,"December 30, 2020",Yemen,Dangerous Assignment,Killed,Journalist,,2020
Adel Naji al-Mansouri,Male,Al-Alam,"July 29, 2006",Iraq,Murder,Killed,Journalist,,2006
Adel Sayegh,Male,Salaheddin TV,August 2015,Iraq,Murder,Killed,Journalist,,
Adel Zerrouk,Male,Al-Rai,"June 14, 2001",Algeria,Dangerous Assignment,Killed,Journalist,,2001
Adham Hassouna,Male,Unknown,"December 1, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Adil Bunyatov,Male,Reuters TV and Turan News Agency,"March 17, 1995",Azerbaijan,Crossfire,Killed,Journalist,,1995
Adlan Khasanov,Male,Reuters,"May 9, 2004",Russia,Dangerous Assignment,Killed,Journalist,,2004
Adnan al-Bayati,Male,TG3,"July 23, 2005",Iraq,Murder,Killed,Journalist,,2005
Adnan al-Safi,Male,Al-Anwar,"July 27, 2007",Iraq,Murder,Killed,Journalist,,2007
Adnan Khairallah,Male,Wasan Productions and Al-Arabiya,"February 23, 2006",Iraq,Murder,Killed,Journalist,,2006
Adolfo Isuiza Urquia,Male,Radio Tropical,"August 23, 1992",Peru,Murder,Killed,Journalist,,1992
Adolphe Missamba Ndengi Kavula,Male,Nsemo,"November 12, 1994",Democratic Republic of the Congo,Murder,Killed,Journalist,,1994
Adrián Silva Moreno,Male,Freelancer,"November 14, 2012",Mexico,Dangerous Assignment,Killed,Journalist,,2012
Agus Muliawan,Male,Asia Press International,"September 25, 1999",East Timor,Dangerous Assignment,Killed,Journalist,,1999
Ahmad Hallak,Male,Al-Buraq Media Institution,"August 2, 2016",Syria,Crossfire,Killed,Journalist,,2016
Ahmad Kareem,Male,Kurdistan TV,"August 25, 2003",Iraq,Crossfire,Killed,Journalist,,2003
Ahmad Mohamed Mahmoud,Male,Al-Ta'awun,"February 4, 2011",Egypt,Dangerous Assignment,Killed,Journalist,,2011
Ahmad Omaid Khpalwak,Male,"Pajhwok Afghan News, BBC","July 28, 2011",Afghanistan,Crossfire,Killed,Journalist,,2011
Ahmad Sha'ban,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder,Killed,Journalist,,2006
Ahmad Shah,Male,BBC,"April 30, 2018",Afghanistan,Motive Unconfirmed,Killed,Journalist,,2018
Ahmed (aka Hakim) Takouchet,Male,Radio Cirta,"June 18, 1995",Algeria,Murder,Killed,Journalist,,1995
Ahmed Abdel Gawad,Male,"Al-Akhbar, Misr25","August 14, 2013",Egypt,Dangerous Assignment,Killed,Journalist,,2013
Ahmed Abdul Samad,Male,Dijlah TV,"January 10, 2020",Iraq,Dangerous Assignment,Killed,Journalist,,2020
Ahmed Abu al-Hamza,Male,"SMART News Agency, Hama Media Center","November 6, 2015",Syria,Crossfire,Killed,Journalist,,2015
Ahmed Abu Hussein,Male,"Voice of the People Radio,Bisan News Agency","April 25, 2018",Israel and the Occupied Palestinian Territory,Murder,Killed,Journalist,,2018
Ahmed Adam,Male,Al-Mada,"May 15, 2005",Iraq,Murder,Killed,Journalist,,2005
Ahmed Addow Anshur,Male,Shabelle Media Network,"May 24, 2012",Somalia,Murder,Killed,Journalist,,2012
Ahmed Adnan al-Ashlaq,Male,Shaam News Network,"May 27, 2012",Syria,Crossfire,Killed,Journalist,,2012
Ahmed al-Assam,Male,Freelancer,"May 28, 2012",Syria,Crossfire,Killed,Journalist,,2012
Ahmed Al-Qara,Male,Freelancer,"November 10, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Ahmed al-Rubai'i,Male,Al-Sabah,"mid-April, 2005",Iraq,Murder,Killed,Journalist,,2005
Ahmed al-Shaibani,Male,"Yaman News, Yemen TV","February 16, 2016",Yemen,Crossfire,Killed,Journalist,,2016
Ahmed Assem el-Senousy,Male,Freedom and Justice,"July 8, 2013",Egypt,Dangerous Assignment,Killed,Journalist,,2013
Ahmed Azize,Male,Aleppo News Network,"August 10, 2018",Syria,Crossfire,Killed,Journalist,,2018
Ahmed Farah Ilyas,Male,Universal TV,"October 23, 2012",Somalia,Murder,Killed,Journalist,,2012
Ahmed Fatima,Male,Al Qahera News TV,"November 13, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,,2023
Ahmed Hadi Naji,Male,Associated Press Television News,"January 5, 2007",Iraq,Murder,Killed,Journalist,,2007
Ahmed Haidar,Male,Al-Manar Television,"July 26, 1993",Lebanon,Crossfire,Killed,Journalist,,1993
Ahmed Hasan Ahmed,Male,Xinhua News Agency,"June 20, 2014",Syria,Dangerous Assignment,Killed,Journalist,,2014
Ahmed Hassan Mahad,Male,Radio Jowhar,"May 16, 2007",Somalia,Crossfire,Killed,Journalist,,2007
Ahmed Hussein Al-Maliki,Male,Talafar al-Yawm,"November 7, 2005",Iraq,Murder,Killed,Journalist,,2005
Ahmed Hussein-Suale Divela,Male,Tiger Eye Private Investigations,"January 16, 2019",Ghana,Murder,Killed,Journalist,,2019
Ahmed Ismail Hassan,Male,Freelancer,"March 31, 2012",Bahrain,Dangerous Assignment,Killed,Journalist,,2012
Ahmed Issaad,Male,Algerian Television,"November 30, 1994",Algeria,Murder,Killed,Journalist,,1994
Ahmed Jabbar Hashim,Male,Al-Sabah,"April 1, 2005",Iraq,Murder,Killed,Journalist,,2005
Ahmed Kafi Awale,Male,Radio of the Somali People,"January 26, 2000",Somalia,Dangerous Assignment,Killed,Journalist,,2000
Ahmed Mohamed al-Mousa,Male,Raqqa is Being Slaughtered Silently,"December 16, 2015",Syria,Murder,Killed,Journalist,,2015
Ahmed Mohamed Shukur,Male,Somali National TV,"September 30, 2022",Somalia,Crossfire,Killed,Journalist,,2022
Ahmed Muhana al-Lami,Male,Freelancer,"December 6, 2019",Iraq,Dangerous Assignment,Killed,Journalist,,2019
