name,organization,date,location,type_of_death
Anis Qassem,Atyaf (Iraqi Media Network),"October 29, 2006",Iraq,Motive Unconfirmed
Anton Voloshin,VGTRK,"June 24, 2014",Ukraine,Motive Unconfirmed
Anwar Turki,Al-Iraqiya,"March 11, 2006",Iraq,Motive Unconfirmed
Arshad Ali Jafri,Geo TV,"September 8, 2015",Pakistan,Motive Unconfirmed
Ashraf Arain,Express TV,"January 17, 2014",Pakistan,Motive Unconfirmed
Aysar Mahmoud Hamid Zankana,Al-Arabiya,"July 26, 2010",Iraq,Motive Unconfirmed
Azhar Abdullah al-Maliki,Iraq Media Network,"February 7, 2007",Iraq,Motive Unconfirmed
Aziz Navin,MOBY/TOLO TV,"May 31, 2017",Afghanistan,Motive Unconfirmed
Bakhtiyar Haddad,France 2,"June 19, 2017",Iraq,Motive Unconfirmed
Benjie Adolfo,Gold Star Daily,"November 23, 2009",Philippines,Motive Unconfirmed
Daniel Tiamson,UNTV,"November 23, 2009",Philippines,Motive Unconfirmed
Efraín Segarra Abril,El Comercio,"April 10-12, 2018",Colombia,Motive Unconfirmed
Farah Hassan Sahal,Radio Simba,"August 4, 2011",Somalia,Motive Unconfirmed
Flor Vásquez López,El Imparcial del Istmo,"October 8, 2007",Mexico,Motive Unconfirmed
Fuad al-Shamri,Al-Saeeda TV,"October 22, 2011",Yemen,Motive Unconfirmed
G. Gopinath,Dinakaran,"May 7, 2007",India,Motive Unconfirmed
Ghani,Radio Television Afghanistan,"May 17, 2017",Afghanistan,Motive Unconfirmed
Hamid Shihab,Media 24,"July 9, 2014",Israel and the Occupied Palestinian Territory,Motive Unconfirmed
Hassan [full name unavailable],Al-Shaabiya,"October 12, 2006",Iraq,Motive Unconfirmed
Hassan Alwan,Al-Arabiya,"October 30, 2003",Iraq,Motive Unconfirmed
Hassan Farajallah,Al Quds TV,"December 3, 2023",Israel and the Occupied Palestinian Territory,Motive Unconfirmed
Hazzam Mohamed Zeid,Yemen Today,"April 20, 2015",Yemen,Motive Unconfirmed
Hussein Nizar,Baghdad TV,"April 6, 2007",Iraq,Motive Unconfirmed
Hussein Othman,ITV News,"March 22, 2003",Iraq,Motive Unconfirmed
Hussein Saleh,Al-Iraqiya TV,"April 19, 2004",Iraq,Motive Unconfirmed
Ibrahim Mohayadin Ahmed,Universal TV,"December 22, 2018",Somalia,Motive Unconfirmed
Imad Abdul-Razzaq al-Obaid,Al-Raad,"May 7, 2007",Iraq,Motive Unconfirmed
Imad Al-Wahidi,Palestine TV,"October 31, 2023",Israel and the Occupied Palestinian Territory,Motive Unconfirmed
Isma'il Muhammad Khalal,Al-Sabah,"May 7, 2006",Iraq,Motive Unconfirmed
Ismail Taher Mohsin,The Associated Press,"September 2, 2004",Iraq,Motive Unconfirmed
Jamaie Abdullah Musib,Al-Maraweah Radio Broadcasting Center,"September 16, 2018",Yemen,Motive Unconfirmed
Jassem Hamad Ibrahim,Al-Iraqiya,"October 4, 2006",Iraq,Motive Unconfirmed
Jassem Mohammad Nofan,Al-Watan,"October 14, 2007",Iraq,Motive Unconfirmed
José Darío Arenas,Extra Quindío,"September 28, 2013",Colombia,Motive Unconfirmed
K. Muthuranalingam,Dinakaran,"May 7, 2007",India,Motive Unconfirmed
Kadri Bağdu,Azadiya Welat,"October 14, 2014",Turkey,Motive Unconfirmed
Kamaran Abdurazaq Muhamed,BBC,"April 6, 2003",Iraq,Motive Unconfirmed
Laiq Ibrahim Nowruz al-Kakaie,Kurdistan TV,"March 10, 2005",Iraq,Motive Unconfirmed
M. Vinod Kumar,Dinakaran,"May 7, 2007",India,Motive Unconfirmed
Maher,Al-Shaabiya,"October 12, 2006",Iraq,Motive Unconfirmed
Maher,Al-Shaabiya,"October 12, 2006",Iraq,Motive Unconfirmed
Mahmood Daoud,Al-Sabah al-Jedid,"May 29, 2004",Iraq,Motive Unconfirmed
Mahmoud Shabaan al-Haj Hadhir,Al-Aan FM,October 2015 - June 2016,Syria,Motive Unconfirmed
Majed Kashko,Palestine TV,"October 31, 2023",Israel and the Occupied Palestinian Territory,Motive Unconfirmed
Marcel Legré,La Refondation,"February 28, 2011",Ivory Coast,Motive Unconfirmed
Mateo Cortés Martínez,El Imparcial del Istmo,"October 8, 2007",Mexico,Motive Unconfirmed
Mian Iqbal Shah,Peshawar Press Club,"December 22, 2009",Pakistan,Motive Unconfirmed
Mohamed Abd al-Kareem Hadi al-Bayati,Al-Arabiya,"July 26, 2010",Iraq,Motive Unconfirmed
Mohamed Al Jaja,Palestine TV,"November 5, 2023",Israel and the Occupied Palestinian Territory,Motive Unconfirmed
Mohamed Dubad Gajow,Universal TV,"December 22, 2018",Somalia,Motive Unconfirmed
Mohamed Najmedin,Freelancer,"May 27, 2004",Iraq,Motive Unconfirmed
Mohamed Shaglouf,Freelancer,"March 15, 2011",Libya,Motive Unconfirmed
Mohammad Akhtar,Agence France-Presse,"July 22, 2018",Afghanistan,Motive Unconfirmed
Mohammad Amir,ARY Television,"September 21, 2012",Pakistan,Motive Unconfirmed
Mohammad Daud Anwari,Radio Television Afghanistan,"August 10, 2018",Afghanistan,Motive Unconfirmed
Mohammad Khalid,Express TV,"January 17, 2014",Pakistan,Motive Unconfirmed
Mohammad Matar Abdo,Palestine,"May 14, 2007",Israel and the Occupied Palestinian Territory,Motive Unconfirmed
Mohammad Sarwar,Aaj TV,"September 3, 2010",Pakistan,Motive Unconfirmed
Mohammad Siddik,Voice of America,"February 17, 2006",Iraq,Motive Unconfirmed
Mohammad Tahir,Enikass Radio and TV,"December 10, 2020",Afghanistan,Motive Unconfirmed
Mohammed Abdul-Hameed,Salaheddin TV,"December 23, 2013",Iraq,Motive Unconfirmed
Mohammed Amir Shinwari,Radio Television Afghanistan,"May 17, 2017",Afghanistan,Motive Unconfirmed
Mohammed Nazir,BBC,"May 31, 2017",Afghanistan,Motive Unconfirmed
Mohammed Nour al-Din al-Deiri,Palestine Network for Press and Media,"On or around July 30, 2014",Israel and the Occupied Palestinian Territory,Motive Unconfirmed
Molou Chérif,Radio Rurale de N'Zérékoré,"September 16, 2014",Guinea,Motive Unconfirmed
Monir Aklan,Yemen Today,"April 20, 2015",Yemen,Motive Unconfirmed
Muazaz Ahmed Barood,Al-Nahrain,"May 8, 2006",Iraq,Motive Unconfirmed
Muhammad Ahmad Sarham,Iraq Media Network,"March 18, 2004",Iraq,Motive Unconfirmed
Muratkhan Bazarbayev,Almaty TV,"January 6, 2022",Kazakhstan,Motive Unconfirmed
Nabil Hussein,Al-Arabiya,"October 30, 2003",Iraq,Motive Unconfirmed
Nabras Mohammed Hadi,Iraq Media Network,"February 7, 2007",Iraq,Motive Unconfirmed
Najeed Rashid,Iraq Media Network,"March 18, 2004",Iraq,Motive Unconfirmed
Nazmi Al-Nadim,Palestine TV,"October 30, 2023",Israel and the Occupied Palestinian Territory,Motive Unconfirmed
Niko Franjic,Nacional,"October 23, 2008",Croatia,Motive Unconfirmed
Omar Arghandewal,Radio Television Afghanistan,"May 31, 2017",Afghanistan,Motive Unconfirmed
Omar Kamal,Time,"March 26, 2004",Iraq,Motive Unconfirmed
Pal Kola,Top Channel,"March 27, 2023",Albania,Motive Unconfirmed
Qaydar Sulaiman,Al-Sharqiya,"September 13, 2008",Iraq,Motive Unconfirmed
Ramziya Moushee,Al-Arabiya,"October 30, 2003",Iraq,Motive Unconfirmed
Rebecca Smith,Capital Gazette,"June 28, 2018",USA,Motive Unconfirmed
Rodolfo Ochoa Moreno,Grupo Multimedios Laguna,"February 9, 2011",Mexico,Motive Unconfirmed
Saeed Chmagh,Reuters,"July 12, 2007",Iraq,Motive Unconfirmed
Sami Nasrallahal-Shimari,Al-Shaabiya,"October 12, 2006",Iraq,Motive Unconfirmed
Samya Abdel Jabar,Al-Sabah al-Jedid,"May 29, 2004",Iraq,Motive Unconfirmed
Sayed Agha,Freelancer,"March 15, 2007",Afghanistan,Motive Unconfirmed
Selwan Abdelghani Medhi al-Niem,Voice of America,"March 5, 2004",Iraq,Motive Unconfirmed
Sidiki Sidibé,Radio Rurale de N'Zérékoré,"September 16, 2014",Guinea,Motive Unconfirmed
Suleiman al-Chidiac,Lebanese Broadcasting Corporation,"July 22, 2006",Lebanon,Motive Unconfirmed
Suleiman Mahamed,Dire Dawa Mass Media Agency,"July 19, 2018",Ethiopia,Motive Unconfirmed
Unidentified,Freelancer,"August 28, 2004",Iraq,Motive Unconfirmed
Unidentified,Al-Shaabiya,"October 12, 2006",Iraq,Motive Unconfirmed
Unidentified,Al-Sabah,"August 27, 2006",Iraq,Motive Unconfirmed
Waqas Aziz Khan,Express TV,"January 17, 2014",Pakistan,Motive Unconfirmed
Yaacoub Al-Barsh,Namaa Radio,"November 13, 2023",Israel and the Occupied Palestinian Territory,Motive Unconfirmed
Yasser Khatab,CNN,"January 27, 2004",Iraq,Motive Unconfirmed
Zainullah,Radio Television Afghanistan,"May 17, 2017",Afghanistan,Motive Unconfirmed
Ziad Tarek al-Dibo,Al-Watan,"October 14, 2007",Iraq,Motive Unconfirmed
