name,organization,date,location,type_of_death
Mahmoud Shabaan al-Haj Hadhir,Al-Aan FM,October 2015 - June 2016,Syria,
Majed Kashko,Palestine TV,"October 31, 2023",Israel and the Occupied Palestinian Territory,
Marcel Legré,La Refondation,"February 28, 2011",Ivory Coast,
Mateo Cortés Martínez,El Imparcial del Istmo,"October 8, 2007",Mexico,
Mian Iqbal Shah,Peshawar Press Club,"December 22, 2009",Pakistan,
Mohamed Abd al-Kareem Hadi al-Bayati,Al-Arabiya,"July 26, 2010",Iraq,
Mohamed Al Jaja,Palestine TV,"November 5, 2023",Israel and the Occupied Palestinian Territory,
Mohamed Dubad Gajow,Universal TV,"December 22, 2018",Somalia,
Mohamed Najmedin,freelance,"May 27, 2004",Iraq,
Mohamed Shaglouf,freelance,"March 15, 2011",Libya,
Mohammad Akhtar,Agence France-Presse,"July 22, 2018",Afghanistan,
Mohammad Amir,ARY Television,"September 21, 2012",Pakistan,
Mohammad Daud Anwari,Radio Television Afghanistan,"August 10, 2018",Afghanistan,
Mohammad Khalid,Express TV,"January 17, 2014",Pakistan,
Mohammad Matar Abdo,Palestine,"May 14, 2007",Israel and the Occupied Palestinian Territory,
Mohammad Sarwar,Aaj TV,"September 3, 2010",Pakistan,
Mohammad Siddik,Voice of America,"February 17, 2006",Iraq,
Mohammad Tahir,Enikass Radio and TV,"December 10, 2020",Afghanistan,
Mohammed Abdul-Hameed,Salaheddin TV,"December 23, 2013",Iraq,
Mohammed Amir Shinwari,Radio Television Afghanistan,"May 17, 2017",Afghanistan,
Mohammed Nazir,BBC,"May 31, 2017",Afghanistan,
Mohammed Nour al-Din al-Deiri,Palestine Network for Press and Media,"On or around July 30, 2014",Israel and the Occupied Palestinian Territory,
Molou Chérif,Radio Rurale de N'Zérékoré,"September 16, 2014",Guinea,
Monir Aklan,Yemen Today,"April 20, 2015",Yemen,
Muazaz Ahmed Barood,Al-Nahrain,"May 8, 2006",Iraq,
Muhammad Ahmad Sarham,Iraq Media Network,"March 18, 2004",Iraq,
Muratkhan Bazarbayev,Almaty TV,"January 6, 2022",Kazakhstan,
Nabil Hussein,Al-Arabiya,"October 30, 2003",Iraq,
Nabras Mohammed Hadi,Iraq Media Network,"February 7, 2007",Iraq,
Najeed Rashid,Iraq Media Network,"March 18, 2004",Iraq,
Nazmi Al-Nadim,Palestine TV,"October 30, 2023",Israel and the Occupied Palestinian Territory,
Niko Franjic,Nacional,"October 23, 2008",Croatia,
Omar Arghandewal,Radio Television Afghanistan,"May 31, 2017",Afghanistan,
Omar Kamal,Time,"March 26, 2004",Iraq,
Pal Kola,Top Channel,"March 27, 2023",Albania,
Qaydar Sulaiman,Al-Sharqiya,"September 13, 2008",Iraq,
Ramziya Moushee,Al-Arabiya,"October 30, 2003",Iraq,
Rebecca Smith,Capital Gazette,"June 28, 2018",USA,
Rodolfo Ochoa Moreno,Grupo Multimedios Laguna,"February 9, 2011",Mexico,
Saeed Chmagh,Reuters,"July 12, 2007",Iraq,
Sami Nasrallahal-Shimari,Al-Shaabiya,"October 12, 2006",Iraq,
Samya Abdel Jabar,Al-Sabah al-Jedid,"May 29, 2004",Iraq,
Sayed Agha,freelance,"March 15, 2007",Afghanistan,
Selwan Abdelghani Medhi al-Niem,Voice of America,"March 5, 2004",Iraq,
Sidiki Sidibé,Radio Rurale de N'Zérékoré,"September 16, 2014",Guinea,
Suleiman al-Chidiac,Lebanese Broadcasting Corporation,"July 22, 2006",Lebanon,
Suleiman Mahamed,Dire Dawa Mass Media Agency,"July 19, 2018",Ethiopia,
Unidentified,Freelance,"August 28, 2004",Iraq,
Unidentified,Al-Shaabiya,"October 12, 2006",Iraq,
Unidentified,Al-Sabah,"August 27, 2006",Iraq,
Waqas Aziz Khan,Express TV,"January 17, 2014",Pakistan,
Yaacoub Al-Barsh,Namaa Radio,"November 13, 2023",Israel and the Occupied Palestinian Territory,
Yasser Khatab,CNN,"January 27, 2004",	Iraq,
Zainullah,Radio Television Afghanistan,"May 17, 2017",Afghanistan,
Ziad Tarek al-Dibo,Al-Watan,"October 14, 2007",Iraq,
